"","period","model","rcp","nmet","mid","pmet","region"
"297","2021-2040",6,45,62,2030.5,0.815789473684211,"DFO_NewfoundlandFall"
"298","2021-2040",6,85,61,2030.5,0.802631578947368,"DFO_NewfoundlandFall"
"299","2021-2040",7,45,61,2030.5,0.802631578947368,"DFO_NewfoundlandFall"
"300","2021-2040",7,85,65,2030.5,0.855263157894737,"DFO_NewfoundlandFall"
"301","2021-2040",8,45,60,2030.5,0.789473684210526,"DFO_NewfoundlandFall"
"302","2021-2040",8,85,60,2030.5,0.789473684210526,"DFO_NewfoundlandFall"
"303","2021-2040",9,45,63,2030.5,0.828947368421053,"DFO_NewfoundlandFall"
"304","2021-2040",9,85,61,2030.5,0.802631578947368,"DFO_NewfoundlandFall"
"305","2021-2040",10,45,64,2030.5,0.842105263157895,"DFO_NewfoundlandFall"
"306","2021-2040",10,85,65,2030.5,0.855263157894737,"DFO_NewfoundlandFall"
"307","2021-2040",11,45,56,2030.5,0.736842105263158,"DFO_NewfoundlandFall"
"308","2021-2040",11,85,58,2030.5,0.763157894736842,"DFO_NewfoundlandFall"
"309","2021-2040",12,45,59,2030.5,0.776315789473684,"DFO_NewfoundlandFall"
"310","2021-2040",12,85,62,2030.5,0.815789473684211,"DFO_NewfoundlandFall"
"311","2021-2040",13,45,57,2030.5,0.75,"DFO_NewfoundlandFall"
"312","2021-2040",13,85,62,2030.5,0.815789473684211,"DFO_NewfoundlandFall"
"313","2041-2060",1,45,42,2050.5,0.552631578947368,"DFO_NewfoundlandFall"
"314","2041-2060",1,85,48,2050.5,0.631578947368421,"DFO_NewfoundlandFall"
"315","2041-2060",2,45,59,2050.5,0.776315789473684,"DFO_NewfoundlandFall"
"316","2041-2060",2,85,57,2050.5,0.75,"DFO_NewfoundlandFall"
"317","2041-2060",3,45,45,2050.5,0.592105263157895,"DFO_NewfoundlandFall"
"318","2041-2060",3,85,53,2050.5,0.697368421052632,"DFO_NewfoundlandFall"
"319","2041-2060",4,45,64,2050.5,0.842105263157895,"DFO_NewfoundlandFall"
"320","2041-2060",4,85,61,2050.5,0.802631578947368,"DFO_NewfoundlandFall"
"321","2041-2060",5,45,56,2050.5,0.736842105263158,"DFO_NewfoundlandFall"
"322","2041-2060",5,85,51,2050.5,0.671052631578947,"DFO_NewfoundlandFall"
"323","2041-2060",6,45,59,2050.5,0.776315789473684,"DFO_NewfoundlandFall"
"324","2041-2060",6,85,60,2050.5,0.789473684210526,"DFO_NewfoundlandFall"
"325","2041-2060",7,45,61,2050.5,0.802631578947368,"DFO_NewfoundlandFall"
"326","2041-2060",7,85,64,2050.5,0.842105263157895,"DFO_NewfoundlandFall"
"327","2041-2060",8,45,55,2050.5,0.723684210526316,"DFO_NewfoundlandFall"
"328","2041-2060",8,85,51,2050.5,0.671052631578947,"DFO_NewfoundlandFall"
"329","2041-2060",9,45,55,2050.5,0.723684210526316,"DFO_NewfoundlandFall"
"330","2041-2060",9,85,56,2050.5,0.736842105263158,"DFO_NewfoundlandFall"
"331","2041-2060",10,45,59,2050.5,0.776315789473684,"DFO_NewfoundlandFall"
"332","2041-2060",10,85,56,2050.5,0.736842105263158,"DFO_NewfoundlandFall"
"333","2041-2060",11,45,44,2050.5,0.578947368421053,"DFO_NewfoundlandFall"
"334","2041-2060",11,85,53,2050.5,0.697368421052632,"DFO_NewfoundlandFall"
"335","2041-2060",12,45,56,2050.5,0.736842105263158,"DFO_NewfoundlandFall"
"336","2041-2060",12,85,51,2050.5,0.671052631578947,"DFO_NewfoundlandFall"
"337","2041-2060",13,45,53,2050.5,0.697368421052632,"DFO_NewfoundlandFall"
