"lon","lat","depth","rugosity"
269.5625,29.1875,-2,0
269.6875,29.0625,-2,0.125
269.6875,29.1875,-2,0
269.8125,29.0625,-9,0.875
269.8125,29.1875,-2,2.25
269.9375,29.0625,-15,0.625
269.9375,29.1875,-2,1.25
270.0625,29.0625,-22,0.875
270.0625,29.1875,-11,0.75
270.1875,29.0625,-29,1
270.1875,29.1875,-14,0.5
270.3125,29.0625,-27,1.625
270.3125,29.1875,-12,0.625
270.4375,29.0625,-14,0.375
270.4375,29.1875,-6,0.75
270.5625,29.0625,-6,0.875
270.5625,29.1875,-7,4.625
270.6875,29.0625,-2,0.75
270.6875,29.1875,-9,2.875
270.8125,29.0625,1,0.375
270.8125,29.1875,-40,5.375
270.9375,29.0625,-2,0.5
270.9375,29.1875,-2,0.375
271.0625,29.0625,-71,5.125
271.0625,29.1875,-23,6
271.1875,29.0625,-146,11.5
271.1875,29.1875,-68,1.5
271.3125,29.0625,-195,23.125
271.3125,29.1875,-73,0.875
271.4375,29.0625,-341,15.875
271.4375,29.1875,-100,17.5
271.5625,29.0625,-432,18.625
271.5625,29.1875,-188,9.75
271.6875,29.0625,-589,27
271.6875,29.1875,-227,17.125
274.3125,29.0625,-159,1.875
274.3125,29.1875,-74,11.25
274.4375,29.0625,-116,4.125
274.4375,29.1875,-78,4
279.0625,29.0625,1,1
279.0625,29.1875,-18,1
279.1875,29.0625,-19,0.75
279.1875,29.1875,-19,0.875
279.3125,29.0625,-17,2.5
279.3125,29.1875,-25,0.75
279.4375,29.0625,-22,0.125
279.4375,29.1875,-28,0
265.3125,29.3125,-8,0.875
265.3125,29.4375,1,0.625
265.4375,29.3125,-13,0.25
265.4375,29.4375,-8,0.625
265.5625,29.3125,-14,0.125
265.5625,29.4375,-10,0.875
265.6875,29.3125,-15,0.125
265.6875,29.4375,-12,0.75
265.8125,29.3125,-12,0.375
265.8125,29.4375,-12,0.375
265.9375,29.3125,-11,0.625
265.9375,29.4375,-12,0
266.0625,29.3125,-11,0.5
266.0625,29.4375,-10,0.375
266.1875,29.3125,-14,0.5
266.1875,29.4375,-7,0.375
266.3125,29.3125,-13,0.125
266.3125,29.4375,-12,0.625
266.4375,29.3125,-10,2.75
266.4375,29.4375,-12,0.125
266.5625,29.3125,-16,0.25
266.5625,29.4375,-12,0.75
266.6875,29.3125,-17,0.625
266.6875,29.4375,-10,0.875
266.8125,29.3125,-16,0.125
266.8125,29.4375,-14,1
266.9375,29.3125,-17,0.75
266.9375,29.4375,-13,0.75
267.0625,29.3125,-16,0.25
267.0625,29.4375,-14,0.5
267.1875,29.3125,-17,0.5
267.1875,29.4375,-14,0.125
267.3125,29.3125,-16,0
267.3125,29.4375,-14,0.625
267.4375,29.3125,-14,0.125
267.4375,29.4375,-12,0.25
267.5625,29.3125,-9,0.5
267.5625,29.4375,-10,0.5
267.6875,29.3125,-6,0.375
267.6875,29.4375,-8,0.5
267.8125,29.3125,-4,0.375
